domain,price,backlinks,age,type
567slots.net,1.00,33,1,BIN_MAKE_OFFER
0ubet.com,10049.72,32,3,BIN_MAKE_OFFER
100bet.app,2955.80,32,0,BIN
2168.bet,3888.00,32,1,BIN
28win.org,1329.96,32,3,BIN
28win.vip,1477.75,32,3,BIN
9388.bet,5888.00,32,1,BIN
acgcasino.com,4988.00,32,1,BIN_MAKE_OFFER
04slot.com,2000.00,31,1,BIN
07bet.top,1182.32,31,0,BIN
10xbet.org,32000.00,31,2,BIN_MAKE_OFFER
20bet.top,1699.59,31,1,BIN
2345bet.app,2955.80,31,0,BIN
23bet.top,1903.54,31,1,BIN
24hslots.com,5747.26,31,1,BIN
25bet.bet,5888.00,31,1,BIN
32bet.top,1903.54,31,1,BIN
53bet.bet,5888.00,31,1,BIN
95bet.bet,8888.00,31,1,BIN
23win.io,9888.00,30,0,BIN
24bet.bet,9888.00,30,0,BIN
88bet365.com,5007.13,30,12,BIN
9688.bet,5888.00,30,1,BIN
actionwagering.com,5988.00,30,5,BIN_MAKE_OFFER
1wingaming.com,8703.06,29,3,BIN
21bet.vip,2790.28,29,3,BIN
3456bet.app,2955.80,29,0,BIN
365betbet.com,13136.76,29,8,BIN
373slot.com,266.02,29,1,BIN
7bet.vip,29392.48,29,1,BIN
7bet7bet.com,1313.56,29,9,BIN
admiralbetcasino.com,3000.00,29,1,BIN
2766.bet,1988.00,28,1,BIN
3168.bet,3888.00,28,1,BIN
6099bet.com,7389.50,28,0,BIN_MAKE_OFFER
62bet.bet,5888.00,28,1,BIN
6789bet.app,2955.80,28,0,BIN
780bet.com,3529.23,28,11,BIN
82bet.bet,8888.00,28,1,BIN
acebet.app,19888.00,28,0,BIN
acumen.bet,9888.00,28,0,BIN
1wing.com,3100.00,27,21,BIN
1xpedia.com,3499.00,27,3,BIN_MAKE_OFFER
21bet.bet,8888.00,27,1,BIN
22betx.com,4888.00,27,3,BIN_MAKE_OFFER
358-casino.org,1.00,27,1,BIN_MAKE_OFFER
3632.bet,1888.00,27,1,BIN
494949.bet,4269.36,27,2,BIN
5bet6bet.com,1313.56,27,9,BIN
74bet.top,870.19,27,0,BIN
88h.bet,3888.00,27,1,BIN
advertise.bet,5888.00,27,1,BIN_MAKE_OFFER
64bet.top,869.01,26,1,BIN
69bet.bet,9888.00,26,1,BIN
1366.bet,1988.00,25,1,BIN
50bet.bet,5888.00,25,1,BIN
5678bet.app,2955.80,25,0,BIN
57bet.bet,5888.00,25,1,BIN
61bet.bet,5888.00,25,1,BIN
62bet.top,1699.59,25,0,BIN
63bet.bet,5888.00,25,1,BIN
7777bet.vip,1182.32,25,3,BIN
90bet.bet,5888.00,25,1,BIN
26bet.bet,5888.00,24,0,BIN
310win.net,5747.26,24,12,BIN
36bet.bet,5888.00,24,1,BIN
78win80.vip,63.00,24,2,BIN_MAKE_OFFER
7xbet.app,1888.00,24,0,BIN
86bet.bet,8888.00,24,1,BIN
9588.bet,5888.00,24,1,BIN
a5win.com,2660.22,24,4,BIN_MAKE_OFFER
2366.bet,1988.00,23,1,BIN
3winks.com,7000.00,23,22,BIN
3xbet.xyz,3888.00,23,1,BIN
4rabet-india.games,1.00,23,1,BIN_MAKE_OFFER
5xbet.club,1888.00,23,1,BIN
6casino.vip,574.61,23,1,BIN
94bet.top,869.01,23,1,BIN
above.bet,80000.00,23,1,BIN_MAKE_OFFER
247webcasino.com,6188.00,22,1,BIN_MAKE_OFFER
4rabet-aviator.games,1.00,22,1,BIN_MAKE_OFFER
777luckybet.com,2052.51,22,2,BIN
97bet.bet,5888.00,22,1,BIN
9kk.bet,3888.00,22,0,BIN
admiralbet.co,1988.00,22,0,BIN
1566.bet,1988.00,21,1,BIN
2166.bet,1988.00,21,1,BIN
4rabet-aviator.vip,1.00,21,1,BIN_MAKE_OFFER
72bet.bet,5888.00,21,1,BIN
888win888.com,888.00,21,24,BIN
92bet.bet,5888.00,21,0,BIN
a9win.com,2660.22,21,4,BIN_MAKE_OFFER
agenticslot.com,9995.00,21,1,BIN
1xneobot.homes,48000.00,20,1,BIN
24win.bet,3888.00,20,1,BIN
38bet.bet,8888.00,20,1,BIN
3bet.bet,39888.00,20,0,BIN
42bet.top,1182.32,20,0,BIN
66slots.bet,3888.00,20,1,BIN
93bet.bet,5888.00,20,1,BIN
12bet.cc,2791.46,19,4,BIN
1x1004.com,199.00,18,1,BIN_MAKE_OFFER
27bet.cc,1699.59,18,2,BIN
365winlive.com,20526.26,18,1,BIN_MAKE_OFFER
420bet.xyz,888.00,18,1,BIN_MAKE_OFFER
777locnohu.bet,1.00,18,1,BIN_MAKE_OFFER
777luck.bet,8703.06,18,1,BIN
1x70.com,5888.00,17,1,BIN
333m.bet,2588.00,17,1,BIN
358-casino.net,1.00,17,1,BIN_MAKE_OFFER
4ra-bet.games,1.00,17,1,BIN_MAKE_OFFER
5679sbty.bet,1.00,17,1,BIN_MAKE_OFFER
7casino.cc,574.61,17,1,BIN
8888dafabet.com,88888.00,17,6,BIN_MAKE_OFFER
888casinogermany.org,5.00,17,1,BIN
888pgslot.com,2791.46,17,1,BIN
8okcasino.bet,1.00,17,1,BIN_MAKE_OFFER
1x38.com,5888.00,16,1,BIN
2casino.vip,574.61,16,1,BIN
33m.bet,2588.00,16,1,BIN
37bet.co,2888.00,16,0,BIN
55casino.vip,574.61,16,1,BIN
666club.bet,3888.00,16,1,BIN
77casino.vip,574.61,16,1,BIN
83bet.bet,8888.00,16,1,BIN
84bet.cc,2791.46,16,3,BIN
87bet.bet,8888.00,16,1,BIN
888club.bet,3888.00,16,1,BIN
88vvcom.bet,1.00,16,1,BIN_MAKE_OFFER
abvbet.com,7999.00,16,6,BIN_MAKE_OFFER
18bet.cc,1313.56,15,9,BIN
1x667.com,199.00,15,1,BIN_MAKE_OFFER
1xbex.com,1999.00,15,1,BIN_MAKE_OFFER
22m.bet,2588.00,15,1,BIN
3casino.vip,574.61,15,1,BIN
3dcp.bet,5888.00,15,1,BIN
6168.bet,3888.00,15,1,BIN
6bet.ml,2995.00,15,1,BIN
8848bet.com,5747.26,15,9,BIN
8mbet.bet,3888.00,15,1,BIN
agbet.bet,3888.00,15,1,BIN
3dbet.app,3888.00,14,1,BIN
5266.bet,1988.00,14,1,BIN
8poker.app,3888.00,14,1,BIN
91xp.xyz,9.75,14,1,BIN
99casino.vip,574.61,14,1,BIN
99win.me,5888.00,14,0,BIN
acepoker.net,999.00,14,2,BIN
affluentbet.com,199.00,14,1,BIN
1win-ken.com,40.00,13,1,BIN
1xbe.ng,1999.00,13,1,BIN_MAKE_OFFER
55bet.co,3888.00,13,0,BIN
88clbtrangchu.bet,1.00,13,1,BIN_MAKE_OFFER
8okcasino.vip,1.00,13,1,BIN_MAKE_OFFER
98winnohu.bet,1.00,13,1,BIN_MAKE_OFFER
4rabet.games,1.00,12,1,BIN_MAKE_OFFER
6bet.co,6190.63,12,2,BIN
7900bet.com,2999.00,12,0,BIN
8168.bet,3888.00,12,1,BIN
88pgslot.com,2791.46,12,2,BIN
29bet.co,2888.00,11,0,BIN
2bet.ml,2995.00,11,1,BIN
98winnohu.org,1.00,11,1,BIN_MAKE_OFFER
9bet.io,14925.00,11,3,BIN
agentivecasino.com,49888.00,11,1,BIN
60bet.co,2888.00,10,0,BIN
7168.bet,3888.00,10,1,BIN
8club.bet,3888.00,10,1,BIN
8vv.bet,3888.00,10,1,BIN
1918holiganbet.com,5.00,9,1,BIN
a8bet.bet,3888.00,9,1,BIN
402bet.app,1477.90,8,1,BIN
8kbetlink.bet,1.00,8,1,BIN_MAKE_OFFER
8okgame.bet,1.00,8,1,BIN_MAKE_OFFER
1xbet.lt,3888.00,7,5,BIN
24bet.uk,22.17,7,0,BIN
abet.ml,2995.00,7,1,BIN
4rabet-aviator.bet,1.00,6,1,BIN_MAKE_OFFER
96bet.co,2888.00,6,0,BIN
absolutejackpot.com,8995.00,6,3,BIN
32bet.co,2888.00,5,0,BIN
49bet.co,1699.59,5,0,BIN
50bet.co,3888.00,5,0,BIN
9xbet.co,3888.00,5,0,BIN
1casino.onl,499.00,3,0,BIN_MAKE_OFFER
21bet.co,2888.00,3,0,BIN
36bet.co,2888.00,3,0,BIN
52bet.co,2888.00,3,0,BIN
567-slots.cc,1.00,3,1,BIN_MAKE_OFFER
7criccasinobonus.cc,1.00,3,1,BIN_MAKE_OFFER
7wingame6l.com,1899.00,3,1,BIN_MAKE_OFFER
9bet.ml,2995.00,3,1,BIN
adjarfreespin.com,10.00,3,0,BIN_MAKE_OFFER
1240perabet.com,7.00,2,0,BIN
358-casino.co,1.00,2,1,BIN_MAKE_OFFER
567-slots.co,1.00,2,1,BIN_MAKE_OFFER
83bet.co,2888.00,2,0,BIN
8goldbet.com,1199.00,2,0,BIN
across.bet,788.00,2,1,BIN
adjbonus.com,10.00,2,0,BIN_MAKE_OFFER
358-casino.cc,1.00,1,1,BIN_MAKE_OFFER
360bet.co,1975.00,1,0,BIN_MAKE_OFFER
511pradabet.vip,3.00,1,0,BIN
511pradabet.com,4.00,1,0,BIN
666casino.cc,574.61,1,1,BIN
